id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1487896386918096900,1487896386918096900,2022-01-31 00:11:57 EAT,2022-01-31,00:11:57,+0300,129326044,drettifranks,Simba 🦁,, https://t.co/SvJnFONJks,und,[],[],['https://pbs.twimg.com/media/FKYR3LBXMBQCFyl.jpg'],0,0,0,[],[],https://twitter.com/DrettiFranks/status/1487896386918096900,False,,1,https://pbs.twimg.com/media/FKYR3LBXMBQCFyl.jpg,,,,,,,[],,,,
1487896377170567171,1487454624307163136,2022-01-31 00:11:54 EAT,2022-01-31,00:11:54,+0300,1248254782021738496,mowglisimba02,MowgliSimba16,,"@www_larelou @Mideum14 @taeesaaa Faut pas etre de mauvaise fois comme ça, c’est connu que les idoles sont limites contrôlé par leur agence",fr,[],[],[],2,0,0,[],[],https://twitter.com/MowgliSimba02/status/1487896377170567171,False,,0,,,,,,,,"[{'screen_name': 'www_larelou', 'name': 'Drama Queen ( Not b*tch )', 'id': '1353085984058040327'}, {'screen_name': 'Mideum14', 'name': 'Mideum', 'id': '1431047795201482753'}, {'screen_name': 'taeesaaa', 'name': 'ʀᴏꜱᴀ⁷', 'id': '1098673125108183040'}]",,,,
1487896342420721677,1487886959343198214,2022-01-31 00:11:46 EAT,2022-01-31,00:11:46,+0300,1462786288218775557,concettapaladi1,concetta paladino,,@Simba_46_ Scusa se ha preso sei mesi sono quattro mesi e mezzo ancora manca un mese e mezzo perché allora l'azienda lo vuole dal 31gennaio,it,[],[],[],0,0,0,[],[],https://twitter.com/concettapaladi1/status/1487896342420721677,False,,0,,,,,,,,"[{'screen_name': 'Simba_46_', 'name': 'Nadia', 'id': '1462597797581148160'}]",,,,
1487896163097497600,1487896163097497600,2022-01-31 00:11:03 EAT,2022-01-31,00:11:03,+0300,1015141746999742465,yhwroi,"YHW , Roi Simba , Roi de la pop et r'nb",, https://t.co/qdouAHibZv,und,[],['https://open.spotify.com/track/0XD4qa1UbF7vtyqq4K8D9Q?si=La6vnwdUQGuXMI1SRXk76g&context=spotify%3Aplaylist%3A37i9dQZF1E36MB3deCYsrc'],[],0,0,0,[],[],https://twitter.com/YhwRoi/status/1487896163097497600,False,,0,,,,,,,,[],,,,
1487896151818973187,1487877503259754499,2022-01-31 00:11:01 EAT,2022-01-31,00:11:01,+0300,1397752774109114375,alpha52877322,Dc,,@Adventure_36 Hapo hapo hamia kwenye kagera na Simba kwenye NBC...alafu tuletee matokeo nani kibonde na nani sio kibonde...🤔🤔,tl,[],[],[],0,0,0,[],[],https://twitter.com/Alpha52877322/status/1487896151818973187,False,,0,,,,,,,,"[{'screen_name': 'Adventure_36', 'name': 'Adventure-360 👨\u200d⚖️', 'id': '1230927069284048898'}]",,,,
1487896133758246922,1487896133758246922,2022-01-31 00:10:56 EAT,2022-01-31,00:10:56,+0300,1015141746999742465,yhwroi,"YHW , Roi Simba , Roi de la pop et r'nb",, https://t.co/DM4s8cKRfo,und,[],['https://open.spotify.com/track/3Dh4Xoq3NDIK6ELuHUh0mN?si=pAx776q9TuCJI4HB-gFZJA&context=spotify%3Aplaylist%3A37i9dQZF1E36MB3deCYsrc'],[],0,0,0,[],[],https://twitter.com/YhwRoi/status/1487896133758246922,False,,0,,,,,,,,[],,,,
1487897391286128646,1487896996694396935,2022-01-31 00:15:56 EAT,2022-01-31,00:15:56,+0300,802969613692796928,deesimbajr,DEE 15 JR,,@spana_Konki 😁😁,und,[],[],[],0,0,0,[],[],https://twitter.com/DeeSimbaJr/status/1487897391286128646,False,,0,,,,,,,,"[{'screen_name': 'spana_Konki', 'name': 'Spana & V.A.R Movement', 'id': '1315183417638752257'}]",,,,
1487897373925949449,1487861958481170435,2022-01-31 00:15:52 EAT,2022-01-31,00:15:52,+0300,2694645120,atme77,D-Wall,,@Simba_Walker_ @NewmanKnew @juanisnotmyname @EAisascam23 @USMNT What do you mean?,en,[],[],[],0,0,0,[],[],https://twitter.com/atme77/status/1487897373925949449,False,,0,,,,,,,,"[{'screen_name': 'Simba_Walker_', 'name': 'Simba Walker', 'id': '61388840'}, {'screen_name': 'NewmanKnew', 'name': 'Tee Schmitke', 'id': '180905728'}, {'screen_name': 'juanisnotmyname', 'name': 'Juan', 'id': '4466367795'}, {'screen_name': 'EAisascam23', 'name': 'EA 🦌✭', 'id': '1044247863713312768'}, {'screen_name': 'USMNT', 'name': 'U.S. Soccer MNT', 'id': '7563792'}]",,,,
1487897304073920513,1487895138500329472,2022-01-31 00:15:35 EAT,2022-01-31,00:15:35,+0300,1485227757391036423,k1ngsimba,simba,,@twilliam_fk ma grazie caro will,en,[],[],[],0,0,0,[],[],https://twitter.com/K1NGSIMBA/status/1487897304073920513,False,,0,,,,,,,,"[{'screen_name': 'twilliam_fk', 'name': ""William. | i'm dad- i cry."", 'id': '1467064671345782784'}]",,,,
1487897283702132736,1487884157397213190,2022-01-31 00:15:30 EAT,2022-01-31,00:15:30,+0300,94475733,bobbyonealgibbs,Buying All Lakers Stock (10-11),,@mightbe__simba Utah is two games behind and SAMW,en,[],[],[],0,0,0,[],[],https://twitter.com/BobbyOnealGibbs/status/1487897283702132736,False,,0,,,,,,,,"[{'screen_name': 'mightbe__simba', 'name': 'hold dat', 'id': '1342668118586482689'}]",,,,
